userid,gender,pedagogia_diff,ciudadania_digital_diff,desarrollo_profesional_diff,n_courses_escuela_alfabetizaciones,n_courses_escuela_ciudadania,n_courses_escuela_digital,n_courses_escuela_formadores,n_courses_escuela_innovacion,n_courses_escuela_matematicas,n_courses_escuela_pensamiento
527,man,-1.0,-0.5,-0.75,0,0,0,0,1,0,1
120370,woman,0.25,0.25,-1.25,0,0,0,0,0,0,0
637055,woman,-0.5,0.25,0.25,0,0,0,0,0,0,0
736740,woman,-0.25,0.75,0.0,0,0,0,0,0,0,0
70816,woman,-1.0,-2.75,-2.25,0,0,0,0,0,0,0
151903,woman,-0.75,-0.75,-1.5,0,0,0,0,0,0,0
725622,man,-1.0,-1.0,0.0,0,0,0,0,0,0,0
733321,man,-0.75,-0.75,-0.25,0,0,0,0,0,0,0
691629,woman,-1.25,0.0,-0.25,0,0,0,0,0,0,0
19698,woman,0.5,-0.25,0.25,0,0,0,0,0,0,0
74390,man,1.0,-0.5,0.5,0,0,0,0,0,0,0
131818,woman,1.0,0.75,0.5,0,0,0,0,0,0,0
447242,man,0.5,-1.25,-0.5,0,0,0,0,0,0,0
197203,man,-1.0,-0.25,-0.75,0,0,0,0,0,0,0
170076,woman,-1.75,-3.25,-1.75,0,0,0,0,0,0,0
48556,man,-1.0,1.5,1.5,0,0,0,0,0,0,0
121023,man,-0.25,0.75,1.25,0,0,0,0,0,0,0
1416251,man,-0.25,-0.75,-0.75,0,0,0,0,0,0,0
750093,woman,2.0,1.75,1.5,0,0,0,0,0,0,0
219017,woman,-0.75,-0.5,-0.75,0,0,0,0,0,0,0
126255,man,-0.75,-0.25,-0.5,0,0,0,0,0,0,0
541699,woman,-1.5,-1.25,-1.5,0,0,0,0,0,0,0
108876,man,-0.25,0.25,0.25,0,0,0,0,0,0,0
69758,woman,0.0,0.75,-1.75,0,0,0,0,0,0,0
213088,woman,0.25,1.0,1.0,0,0,0,0,0,0,0
759834,woman,0.75,0.5,1.0,0,0,0,0,0,0,0
72758,man,0.0,1.0,0.75,0,0,0,0,0,0,0
19762,woman,0.75,0.0,0.5,0,0,0,0,0,0,0
184867,woman,1.5,1.5,1.75,0,0,0,0,0,0,0
127738,woman,-1.0,-0.75,-1.0,0,0,0,0,0,0,0
127746,woman,1.0,0.0,-0.25,0,0,0,0,0,0,0
48307,woman,-0.5,0.25,0.0,0,0,0,0,0,0,0
574605,woman,-1.5,-0.5,-1.5,0,0,0,0,0,0,0
169822,man,0.0,0.0,-1.0,0,0,0,1,0,0,0
144004,woman,-0.5,0.0,-0.25,0,0,0,0,0,0,0
149325,woman,0.0,0.25,0.75,0,0,0,0,0,0,0
418131,woman,0.25,0.0,0.5,0,0,0,0,0,0,0
413611,woman,0.75,0.25,0.5,0,0,0,0,0,0,0
191198,man,-0.5,0.25,0.25,0,0,0,0,0,0,0
18155,woman,0.0,-0.25,-0.25,0,0,0,0,0,0,0
146343,woman,-0.75,0.0,-1.0,0,0,0,0,0,0,0
398463,woman,-0.75,0.25,0.5,0,0,0,0,0,0,0
94146,iprefernottosay,0.0,0.0,0.0,0,0,1,0,0,0,0
213766,woman,0.25,1.25,-0.5,0,0,0,0,0,0,1
830656,,1.5,2.75,1.25,0,0,0,0,0,0,0
131162,woman,0.5,1.5,1.25,0,0,0,0,0,0,0
97589,woman,1.25,1.25,1.75,0,0,0,0,0,0,0
89024,woman,0.5,0.5,0.25,0,0,0,0,0,0,0
211060,woman,-0.25,1.25,0.5,0,0,0,0,0,0,0
59690,man,1.5,0.5,0.0,0,0,1,0,1,0,0
14087,man,0.75,1.5,1.5,0,0,0,0,0,0,0
44044,man,0.5,0.75,0.75,0,0,0,0,0,0,0
131841,woman,2.25,1.0,1.75,0,0,0,0,0,0,0
10977,woman,0.5,1.75,1.75,0,0,0,0,0,0,0
513048,woman,-0.5,-1.25,-0.75,0,0,0,0,1,0,0
59629,woman,1.5,1.75,1.5,0,0,0,0,0,0,0
627977,man,0.75,1.0,0.25,0,0,0,0,0,0,0
88915,woman,0.75,0.25,0.0,0,0,0,0,0,0,0
119404,man,1.25,0.5,0.75,0,0,0,0,0,0,0
622541,woman,2.75,3.25,3.0,0,0,0,0,0,0,0
159865,woman,0.0,0.25,-0.25,0,0,0,0,0,0,0
212687,woman,2.25,2.25,2.0,0,0,0,0,0,0,0
119548,man,2.0,3.0,2.25,0,0,0,0,0,0,0
188125,woman,1.0,-0.75,0.75,0,0,0,0,0,0,0
625500,man,-0.25,0.25,0.25,0,0,0,0,0,0,0
14081,,0.0,-0.5,0.25,0,0,0,0,0,0,0
11689,woman,1.75,1.25,0.0,0,0,0,0,0,0,0
180044,man,1.75,1.75,2.0,0,0,0,0,0,0,0
210947,woman,1.25,0.5,0.5,0,0,0,0,0,0,0
512783,woman,1.0,1.0,0.0,0,0,0,0,0,0,0
1405619,woman,1.5,1.25,1.75,0,0,0,0,0,0,0
513304,woman,-0.5,-0.75,1.25,0,0,0,0,0,0,0
59682,woman,1.25,1.0,0.5,0,0,0,0,0,0,0
513150,woman,-0.75,1.0,0.75,0,0,1,0,1,0,0
44145,woman,0.5,0.5,-0.5,0,0,0,0,0,0,0
625419,woman,0.75,2.0,1.75,0,0,0,0,0,0,0
44272,man,1.75,2.5,1.25,0,0,0,0,0,0,0
11766,man,0.25,0.5,0.25,0,0,0,0,0,0,0
119594,woman,-1.0,-0.25,-1.0,0,0,0,0,0,0,0
89007,woman,1.5,1.0,0.75,0,0,0,0,0,0,0
14283,woman,1.0,0.25,-0.25,0,0,0,0,0,0,0
35822,man,0.75,2.0,1.0,0,0,0,0,0,0,0
160269,man,1.0,0.25,0.5,0,0,0,0,0,0,0
160059,woman,0.75,0.5,1.25,0,0,0,0,0,0,0
513078,man,-0.5,1.25,-1.0,0,0,1,0,1,0,0
88914,woman,0.75,1.25,2.0,0,0,0,0,0,0,0
11277,woman,1.0,0.5,1.0,0,0,0,0,0,0,0
512547,woman,0.0,1.25,-0.25,0,0,0,0,0,0,0
44306,woman,0.0,-0.75,-0.25,0,0,0,0,0,0,0
10945,woman,1.0,2.25,1.75,0,0,0,0,0,0,0
14646,woman,0.75,0.75,0.5,0,0,1,0,1,0,0
57104,woman,2.0,2.0,1.25,0,0,0,0,0,0,0
810470,woman,0.75,1.0,1.75,0,0,0,0,0,0,0
119384,woman,1.75,2.25,1.25,0,0,0,0,0,0,0
88917,woman,0.75,0.0,0.5,0,0,0,0,1,0,0
151731,woman,1.5,1.25,2.0,0,0,0,0,0,0,0
159871,woman,0.0,-0.25,-0.25,0,0,0,0,0,0,0
54803,woman,0.0,0.75,0.5,0,0,0,0,0,0,0
54812,woman,0.25,0.0,-0.5,0,0,0,0,0,0,0
131213,woman,0.5,0.5,0.75,0,0,0,0,0,0,0
88973,,-0.25,1.25,0.25,0,0,0,0,0,0,0
59593,woman,1.75,1.75,1.5,0,0,0,0,0,0,0
513258,man,1.5,0.5,0.5,0,0,0,0,0,0,0
59617,man,-0.25,-1.0,-0.5,0,0,0,0,0,0,0
187660,man,1.25,2.0,2.0,0,0,0,0,0,0,0
44110,man,0.5,0.5,-0.25,0,0,0,0,0,0,0
130452,woman,0.25,-0.5,-0.25,0,0,0,0,0,0,0
834746,,0.5,1.25,0.25,0,0,0,0,0,0,0
159886,woman,1.0,0.5,0.75,0,0,0,0,0,0,0
70123,man,0.75,1.0,0.25,0,0,1,0,1,0,0
188086,woman,0.75,-0.25,1.25,0,0,0,0,1,0,0
59681,man,-0.25,-0.5,-1.0,0,0,1,0,1,0,0
