userid,cluster1,cluster2,new_cluster
94146,0,2,A0
59690,1,2,A2
513048,1,1,A1
513150,1,2,A2
513078,2,2,A6
14646,1,2,A2
88917,1,2,A2
188086,1,2,A2
59681,2,2,A6
513160,1,2,A2
159883,2,2,A6
13020,1,2,A2
657,0,2,A0
94708,1,2,A2
68921,1,1,A1
626316,3,2,A7
80818,0,2,A0
72210,1,2,A2
166988,1,1,A1
54699,1,1,A1
5553,1,2,A2
256937,3,2,A7
527,20,2,A5
120370,20,0,A3
637055,20,0,A3
736740,20,0,A3
70816,20,0,A3
151903,20,0,A3
725622,20,0,A3
733321,20,0,A3
691629,20,0,A3
19698,20,0,A3
74390,20,0,A3
131818,20,0,A3
447242,20,0,A3
197203,20,0,A3
170076,20,0,A3
48556,20,0,A3
121023,20,0,A3
1416251,20,0,A3
750093,20,0,A3
219017,20,0,A3
126255,20,0,A3
541699,20,0,A3
108876,20,0,A3
69758,20,0,A3
213088,20,0,A3
759834,20,0,A3
72758,20,0,A3
19762,20,0,A3
184867,20,0,A3
127738,20,0,A3
127746,20,0,A3
48307,20,0,A3
574605,20,0,A3
169822,20,1,A4
144004,20,0,A3
149325,20,0,A3
418131,20,0,A3
413611,20,0,A3
191198,20,0,A3
18155,20,0,A3
146343,20,0,A3
398463,20,0,A3
213766,20,2,A5
830656,20,0,A3
131162,20,0,A3
97589,20,0,A3
89024,20,0,A3
211060,20,0,A3
14087,20,0,A3
44044,20,0,A3
131841,20,0,A3
10977,20,0,A3
59629,20,0,A3
627977,20,0,A3
88915,20,0,A3
119404,20,0,A3
622541,20,0,A3
159865,20,0,A3
212687,20,0,A3
119548,20,0,A3
188125,20,0,A3
625500,20,0,A3
14081,20,0,A3
11689,20,0,A3
180044,20,0,A3
210947,20,0,A3
512783,20,0,A3
1405619,20,0,A3
513304,20,0,A3
59682,20,0,A3
44145,20,0,A3
625419,20,0,A3
44272,20,0,A3
11766,20,0,A3
119594,20,0,A3
89007,20,0,A3
14283,20,0,A3
35822,20,0,A3
160269,20,0,A3
160059,20,0,A3
88914,20,0,A3
11277,20,0,A3
512547,20,0,A3
44306,20,0,A3
10945,20,0,A3
57104,20,0,A3
810470,20,0,A3
119384,20,0,A3
151731,20,0,A3
159871,20,0,A3
54803,20,0,A3
54812,20,0,A3
131213,20,0,A3
88973,20,0,A3
59593,20,0,A3
513258,20,0,A3
59617,20,0,A3
187660,20,0,A3
44110,20,0,A3
130452,20,0,A3
834746,20,0,A3
159886,20,0,A3
70123,20,2,A5
14414,20,0,A3
13804,20,0,A3
93954,20,0,A3
622108,20,0,A3
68669,20,0,A3
206570,20,0,A3
59590,20,0,A3
72844,20,2,A5
512609,20,0,A3
13513,20,0,A3
1073038,20,0,A3
88951,20,0,A3
130893,20,2,A5
210970,20,0,A3
187907,20,0,A3
129504,20,0,A3
160310,20,0,A3
193383,20,0,A3
158558,20,2,A5
132124,20,0,A3
250003,20,0,A3
143969,20,0,A3
42175,20,0,A3
19484,20,0,A3
191360,20,0,A3
219396,20,0,A3
343401,20,0,A3
181056,20,0,A3
42288,20,0,A3
163709,20,0,A3
90206,20,0,A3
298283,20,0,A3
75083,20,0,A3
73159,20,0,A3
131564,20,0,A3
43468,20,0,A3
1333617,20,0,A3
16543,20,0,A3
168018,20,0,A3
560726,20,0,A3
40142,20,0,A3
69418,20,0,A3
168035,20,0,A3
131108,20,0,A3
259084,20,0,A3
183726,20,0,A3
123812,20,0,A3
72060,20,0,A3
214131,20,0,A3
38058,20,0,A3
212008,20,0,A3
115729,20,0,A3
61488,20,0,A3
214455,20,0,A3
143080,20,0,A3
48345,20,0,A3
122182,20,0,A3
186267,20,0,A3
250009,20,0,A3
122119,20,0,A3
63957,20,0,A3
146287,20,0,A3
131657,20,0,A3
47350,20,0,A3
43557,20,0,A3
191086,20,0,A3
33496,20,0,A3
135810,20,0,A3
259829,20,0,A3
46126,20,0,A3
259087,20,0,A3
337602,20,0,A3
481133,20,0,A3
35176,20,0,A3
272193,20,0,A3
126214,20,0,A3
123750,20,0,A3
45142,20,0,A3
75463,20,0,A3
132571,20,0,A3
169245,20,0,A3
85302,20,0,A3
1327735,20,0,A3
165401,20,0,A3
201257,20,0,A3
271984,20,0,A3
177515,20,0,A3
1260047,20,0,A3
80259,20,0,A3
123708,20,0,A3
100430,20,0,A3
140099,20,0,A3
195735,20,0,A3
14149,20,0,A3
190121,20,0,A3
183731,20,0,A3
186637,20,2,A5
204544,20,2,A5
260846,20,0,A3
98555,20,0,A3
213093,20,0,A3
1422398,20,0,A3
56040,20,0,A3
