Cluster,Rule,Rules
0,Rule 0,"desarrollo_profesional_diff <= -0.625, ciudadania_digital_diff <= 1.375"
0,Rule 1,"desarrollo_profesional_diff > -0.625, desarrollo_profesional_diff <= 1.125, ciudadania_digital_diff <= -0.375, pedagogia_diff <= -0.25"
0,Rule 2,"desarrollo_profesional_diff > -0.625, desarrollo_profesional_diff <= 1.125, ciudadania_digital_diff <= -0.375, pedagogia_diff > -0.25, ciudadania_digital_diff <= -1.125"
0,Rule 3,"desarrollo_profesional_diff > -0.625, desarrollo_profesional_diff <= 1.125, ciudadania_digital_diff <= -0.375, pedagogia_diff > -0.25, ciudadania_digital_diff > -1.125, pedagogia_diff <= 0.125, desarrollo_profesional_diff <= 0.0"
0,Rule 4,"desarrollo_profesional_diff > -0.625, desarrollo_profesional_diff <= 1.125, ciudadania_digital_diff > -0.375, ciudadania_digital_diff <= 1.375, pedagogia_diff <= 1.625, pedagogia_diff <= -0.375, ciudadania_digital_diff <= 0.125"
1,Rule 0,"desarrollo_profesional_diff <= -0.625, ciudadania_digital_diff > 1.375"
1,Rule 1,"desarrollo_profesional_diff > -0.625, desarrollo_profesional_diff <= 1.125, ciudadania_digital_diff > -0.375, ciudadania_digital_diff <= 1.375, pedagogia_diff > 1.625"
1,Rule 2,"desarrollo_profesional_diff > -0.625, desarrollo_profesional_diff <= 1.125, ciudadania_digital_diff > -0.375, ciudadania_digital_diff > 1.375, desarrollo_profesional_diff > 0.25"
1,Rule 3,"desarrollo_profesional_diff > -0.625, desarrollo_profesional_diff > 1.125, ciudadania_digital_diff <= 0.875, pedagogia_diff > 0.875"
1,Rule 4,"desarrollo_profesional_diff > -0.625, desarrollo_profesional_diff > 1.125, ciudadania_digital_diff > 0.875, pedagogia_diff > -0.25"
2,Rule 0,"desarrollo_profesional_diff > -0.625, desarrollo_profesional_diff <= 1.125, ciudadania_digital_diff <= -0.375, pedagogia_diff > -0.25, ciudadania_digital_diff > -1.125, pedagogia_diff <= 0.125, desarrollo_profesional_diff > 0.0"
2,Rule 1,"desarrollo_profesional_diff > -0.625, desarrollo_profesional_diff <= 1.125, ciudadania_digital_diff <= -0.375, pedagogia_diff > -0.25, ciudadania_digital_diff > -1.125, pedagogia_diff > 0.125"
2,Rule 2,"desarrollo_profesional_diff > -0.625, desarrollo_profesional_diff <= 1.125, ciudadania_digital_diff > -0.375, ciudadania_digital_diff <= 1.375, pedagogia_diff <= 1.625, pedagogia_diff <= -0.375, ciudadania_digital_diff > 0.125"
2,Rule 3,"desarrollo_profesional_diff > -0.625, desarrollo_profesional_diff <= 1.125, ciudadania_digital_diff > -0.375, ciudadania_digital_diff <= 1.375, pedagogia_diff <= 1.625, pedagogia_diff > -0.375"
2,Rule 4,"desarrollo_profesional_diff > -0.625, desarrollo_profesional_diff <= 1.125, ciudadania_digital_diff > -0.375, ciudadania_digital_diff > 1.375, desarrollo_profesional_diff <= 0.25"
2,Rule 5,"desarrollo_profesional_diff > -0.625, desarrollo_profesional_diff > 1.125, ciudadania_digital_diff <= 0.875, pedagogia_diff <= 0.875"
2,Rule 6,"desarrollo_profesional_diff > -0.625, desarrollo_profesional_diff > 1.125, ciudadania_digital_diff > 0.875, pedagogia_diff <= -0.25"
